BKCLASS,CB,CERT,CITY,EDEPDOM,EDEPFOR,EFFDATE,EFREPP,EINTEXP,ELNATR,EOTHINT,ESTYMD,FDICDBS,FDICSUPV,FED,FLDOFF,ID,INSAGNT1,INSDATE,MUTUAL,NAMEFULL,NAMEHCR,NIM,OCCDIST,OFFDOM,OFFOA,PARCERT,REGAGNT,REPDTE,RSSDHCR,SPECGRP,STALP,SUBCHAPS,TRUST,ZIP
NM,1.0,57488,CHICAGO,4847.0,0.0,2022-08-31,0.0,5646.0,8317.0,799.0,2005-01-25,9,9,7,CHICAGO,57488_20250930,DIF,2005-01-25,0,METROPOLITAN CAPITAL BANK & TRUST,METROPOLITAN CAPITAL BCORP INC,8733.0,3,1,0,0,FDIC,2025-09-30,3153224.0,4,IL,0,1,60611
NM,1.0,57491,DUNCAN,7398.0,0.0,2022-08-31,50.0,8383.0,450.0,935.0,2002-12-16,13,13,10,OKLAHOMA CITY,57491_20250930,DIF,2002-12-16,0,BANK OF COMMERCE,COMMERCE FINANCIAL CO,8465.0,5,6,0,0,FDIC,2025-09-30,5872396.0,4,OK,0,0,73533
NM,1.0,57495,AUSTIN,3259.0,0.0,2022-08-17,0.0,3259.0,377.0,0.0,2003-05-09,13,13,11,AUSTIN,57495_20250930,DIF,2003-05-09,0,PRIMEBANK OF TEXAS,BAT INVESTMENTS INC,6827.0,5,3,0,0,FDIC,2025-09-30,5592313.0,4,TX,0,0,78746
NM,1.0,57497,OSWEGO,21220.0,0.0,2024-07-19,0.0,23090.0,5150.0,1870.0,2002-10-25,2,2,2,SYRACUSE,57497_20250930,DIF,2002-10-25,0,PATHFINDER BANK,PATHFINDER BCORP INC,35512.0,1,13,0,0,FDIC,2025-09-30,2596776.0,4,NY,0,0,13126
NM,1.0,5749,WINNEBAGO,21416.0,0.0,2025-05-01,387.0,22782.0,907.0,979.0,1907-01-06,9,9,7,PRINCETON,5749_20250930,DIF,1934-01-01,0,FORESIGHT BANK,FORESIGHT FINANCIAL GROUP INC,38383.0,3,14,0,0,FDIC,2025-09-30,1137453.0,2,IL,0,1,61088
N,1.0,57505,SIOUX CITY,5565.0,0.0,2024-06-30,3.0,7396.0,228.0,1828.0,2003-03-17,11,11,7,SIOUX CITY,57505_20250930,DIF,2003-03-17,0,LIBERTY NATIONAL BANK,215 HOLDING CO,15078.0,4,10,0,0,OCC,2025-09-30,1247576.0,2,IA,0,1,51106
NM,0.0,57510,SAN JOSE,40272.0,0.0,2022-08-31,2252.0,43809.0,2280.0,1285.0,2003-10-01,14,14,12,SAN FRANCISCO,57510_20250930,DIF,2003-10-01,0,AVIDBANK,AVIDBANK HOLDINGS INC,63614.0,4,3,0,0,FDIC,2025-09-30,3680980.0,4,CA,0,0,95112
NM,1.0,57511,KOKOMO,14333.0,0.0,2022-08-31,0.0,16110.0,1324.0,1777.0,2003-02-03,9,9,7,INDIANAPOLIS,57511_20250930,DIF,2003-02-03,0,COMMUNITY FIRST BANK OF INDIANA,COMMUNITY FIRST FINANCIAL CORP,42096.0,3,8,0,0,FDIC,2025-09-30,3921816.0,4,IN,0,0,46901
SM,0.0,57512,PHOENIX,1162114.0,0.0,2023-11-18,8902.0,1365272.0,151100.0,194256.0,2003-02-03,14,14,12,PHOENIX,57512_20250930,DIF,2003-02-03,0,WESTERN ALLIANCE BANK,WESTERN ALLIANCE BCORP,2107165.0,4,37,0,0,FED,2025-09-30,2349815.0,4,AZ,0,0,85004
NM,1.0,57522,DALLAS,16422.0,0.0,2022-08-31,0.0,17174.0,-102.0,752.0,2003-02-03,13,13,11,DALLAS,57522_20250930,DIF,2003-02-03,0,TOLLESON PRIVATE BANK,TOLLESON WEALTH MANAGEMENT INC,15703.0,5,2,0,0,FDIC,2025-09-30,3191712.0,5,TX,1,1,75205
NM,1.0,5753,SAVANNA,2685.0,0.0,2023-07-13,27.0,3331.0,0.0,619.0,1920-01-01,9,9,7,PRINCETON,5753_20250930,DIF,1934-01-01,0,FIDELITY BANK,SAVANNA-THOMSON INVESTMENT INC,4864.0,3,6,0,0,FDIC,2025-09-30,3084999.0,4,IL,1,0,61074
