ASSET,BKCLASS,CB,CERT,CITY,DEP,EFFDATE,ESTYMD,FDICDBS,FDICSUPV,FED,FLDOFF,ICHBAL,ID,IFREPO,ILNDOM,ILNFOR,ILS,INSAGNT1,INSDATE,INTINC,IOTHII,ISC,ITRADE,MUTUAL,NAMEFULL,NAMEHCR,OCCDIST,OFFDOM,OFFOA,PARCERT,REGAGNT,REPDTE,RSSDHCR,SPECGRP,STALP,SUBCHAPS,TRUST,ZIP
270379,NM,1.0,17979,CASTROVILLE,237627,2019-02-26,1959-04-02,13,13,11,AUSTIN,472.0,17979_20250930,0.0,8099.0,0.0,0.0,DIF,1959-04-02,10044.0,0.0,1473.0,0.0,0,CASTROVILLE STATE BANK,Unknown,5,2,0,0,FDIC,2025-09-30,0.0,8,TX,0,0,78009
13124,NM,1.0,17982,WALTON,10148,2024-10-25,1907-05-27,11,11,10,WICHITA,56.0,17982_20250930,57.0,187.0,0.0,0.0,DIF,1959-04-09,465.0,0.0,165.0,0.0,0,THE WALTON STATE BANK,WSB FINANCIAL INC,4,1,0,0,FDIC,2025-09-30,5787744.0,2,KS,0,0,67151
24101748,NM,1.0,17985,HONOLULU,20746814,2023-11-18,1858-01-01,14,14,12,SAN FRANCISCO,43278.0,17985_20250930,0.0,541284.0,28896.0,11756.0,DIF,1959-04-13,714445.0,1276.0,87955.0,0.0,0,FIRST HAWAIIAN BANK,FIRST HAWAIIAN INC,4,45,4,0,FDIC,2025-09-30,1025608.0,4,HI,0,1,96813
208431,NM,1.0,17993,MARENGO,176334,2024-06-30,1935-04-27,11,11,7,CEDAR RAPIDS,364.0,17993_20250930,20.0,5228.0,0.0,0.0,DIF,1959-04-30,6986.0,111.0,1263.0,0.0,0,KEYSTONE SAVINGS BANK,KEYSTONE COMMUNITY BCORP,4,5,0,0,FDIC,2025-09-30,1131367.0,4,IA,1,1,52301
49315,NM,1.0,17995,GREELEY,41820,2022-08-31,1888-01-01,11,11,10,KANSAS CITY,364.0,17995_20250930,15.0,1122.0,0.0,0.0,DIF,1959-05-04,1772.0,0.0,271.0,0.0,0,BANK OF GREELEY,GREELEY BANCSHARES INC,4,1,0,0,FDIC,2025-09-30,1472006.0,2,KS,1,0,66033
2725575,SM,1.0,18012,LACONIA,2351036,2024-11-17,1831-07-02,2,2,1,CONCORD,3589.0,18012_20250930,0.0,81582.0,0.0,0.0,DIF,1959-07-02,89651.0,110.0,4370.0,0.0,0,BANK OF NEW HAMPSHIRE,BNH FINANCIAL,1,24,0,0,FED,2025-09-30,2545831.0,4,NH,0,1,03246
2976402,SM,1.0,18013,LEBANON,2643389,2024-11-17,1899-01-01,2,2,1,CONCORD,641.0,18013_20250930,0.0,89852.0,0.0,0.0,DIF,1959-07-02,97025.0,179.0,6353.0,0.0,0,MASCOMA BANK,MASCOMA MUTUAL FINL SERVICES,1,26,0,0,FED,2025-09-30,3846106.0,4,NH,0,1,03766
254336,NM,1.0,18019,GARNETT,222672,2022-08-31,1899-01-01,11,11,10,KANSAS CITY,602.0,18019_20250930,214.0,11322.0,0.0,6.0,DIF,1959-06-04,12596.0,87.0,365.0,0.0,0,PATRIOTS BANK,GARNETT BANCSHARES INC,4,6,0,0,FDIC,2025-09-30,1057896.0,4,KS,1,0,66032
402499,SI,1.0,18028,NEWPORT,344138,2024-11-17,1895-01-01,2,2,1,CONCORD,457.0,18028_20250930,6.0,11256.0,0.0,1.0,DIF,1959-07-02,13273.0,27.0,1526.0,0.0,0,SUGAR RIVER BANK,SUGAR RIVER BCORP MHC,1,6,0,0,FDIC,2025-09-30,4191399.0,5,NH,0,0,03773
819437,SI,1.0,18030,WALPOLE,750562,2024-11-17,1875-07-21,2,2,1,CONCORD,1109.0,18030_20250930,610.0,23751.0,0.0,0.0,DIF,1959-07-02,28285.0,24.0,2791.0,0.0,0,SAVINGS BANK OF WALPOLE,NEW HAMPSHIRE MUTUAL BCORP,1,7,0,0,FDIC,2025-09-30,4436559.0,4,NH,0,0,03608
156826,NM,1.0,18033,EMINENCE,145513,2016-04-09,1959-06-29,11,11,8,SPRINGFIELD MO,361.0,18033_20250930,27.0,6132.0,0.0,0.0,DIF,1959-06-29,6977.0,11.0,446.0,0.0,0,SECURITY BANK OF THE OZARKS,EMINENCE BANKSHARES INC,4,5,0,0,FDIC,2025-09-30,1140613.0,4,MO,1,0,65466
605120,SI,1.0,18038,CLAREMONT,449210,2024-11-17,1907-04-15,2,2,1,CONCORD,1485.0,18038_20250930,0.0,17086.0,0.0,0.0,DIF,1959-07-02,19976.0,169.0,1236.0,0.0,1,CLAREMONT SAVINGS BANK,Unknown,1,5,0,0,FDIC,2025-09-30,0.0,5,NH,0,0,03743
23980457,SM,0.0,18053,HONOLULU,21159718,2024-07-09,1897-01-01,14,14,12,SAN FRANCISCO,17472.0,18053_20250930,0.0,471931.0,22638.0,4703.0,DIF,1959-07-10,660507.0,3250.0,140513.0,0.0,0,BANK OF HAWAII,BANK OF HAWAII CORP,4,47,3,0,FED,2025-09-30,1025309.0,5,HI,0,1,96813
2294262,NM,1.0,18059,AMMON,1900132,2022-08-31,1959-08-01,14,14,12,SALT LAKE CITY,5223.0,18059_20250930,1198.0,85200.0,0.0,0.0,DIF,1959-08-01,98896.0,222.0,7053.0,0.0,0,THE BANK OF COMMERCE,Unknown,4,17,0,0,FDIC,2025-09-30,0.0,4,ID,0,1,83406
122772,NM,1.0,18063,WAYNOKA,108483,2022-08-31,1959-07-20,13,13,10,OKLAHOMA CITY,0.0,18063_20250930,406.0,6148.0,0.0,0.0,DIF,1959-07-20,6879.0,0.0,325.0,0.0,0,COREBANK,Unknown,5,2,0,0,FDIC,2025-09-30,0.0,4,OK,0,0,73860
