CERT,Capital_Ratio,Net_Interest_Margin,Texas_Ratio,Charge_Off_Ratio,Risk_Cluster
10883,0.10682534522480247,0.015754783206833354,0.03673811413954309,0.0,Cluster 1
10886,0.0948733404429607,0.035515679819477286,0.06719992180372736,0.0,Cluster 1
10903,0.10392188343817961,0.014334870754455359,0.055179073033707865,0.0,Cluster 1
10906,0.10263799190163357,0.021292958868823143,0.004062471788390358,0.0,Cluster 1
10907,0.11746112628285257,0.0223356343070672,0.0401500259834158,0.0,Cluster 1
1090,0.13152547123537242,0.027939177352673254,4.2621204049014384e-05,0.0,Cluster 1
10918,0.13829577732754333,0.02566447594602082,0.17478821229454783,0.0,Cluster 1
10919,0.17894524621562138,0.025545605752591523,0.0001408318467749507,0.0,Cluster 1
10920,0.21020103681740493,0.02465038101623214,0.0021338244873205904,0.0,Cluster 1
10928,0.11496030376251294,0.02579910251984812,0.014592841700696612,0.0,Cluster 1
1092,0.10527107437022062,0.03146039023157591,0.06229639366748586,0.0,Cluster 1
10956,0.10395037794726594,0.031613226878895326,0.03826019385710196,0.0,Cluster 1
10958,0.09287799389545401,0.02494103197532415,0.022725696451277307,0.0,Cluster 1
1095,0.09285662857554282,0.031151065077193667,0.0032787611599725294,0.0,Cluster 1
10960,0.12448990755429135,0.023685793993764016,0.0,0.0,Cluster 1
10962,0.0950555140194389,0.03524750416804935,0.13560462670872767,0.0,Cluster 1
10965,0.11567990753862877,0.031322665419171974,0.008742194469223908,0.0,Cluster 1
10967,0.10086284862261984,0.02440419447092469,0.0,0.0,Cluster 1
10969,0.08570817801648696,0.0336419629377263,0.1730319563522993,0.0,Cluster 1
10971,0.08682476309586801,0.025432405873985556,0.04352987732489118,0.0,Cluster 1
10973,0.10085840015260447,0.023939168700296658,0.0006130488091200794,0.0,Cluster 1
10976,0.11176838176306167,0.02834004678303313,0.0,0.0,Cluster 1
10980,0.09204344345187931,0.02437636945895837,0.00011444921316165951,0.0,Cluster 1
10982,0.16092722371967655,0.021714285714285714,0.0,0.0,Cluster 1
10984,0.10295507617035472,0.033790170132325145,0.15161333873363034,0.0,Cluster 1
10989,0.10798280455484527,0.027904339902197428,0.0032853415788965117,0.0,Cluster 1
1098,0.10688563078540946,0.015089448391396323,0.0,0.0,Cluster 1
10993,0.09875809860614182,0.022517233281299644,0.011190376276402294,0.0,Cluster 1
10998,0.07668414677571357,0.020814533993258694,0.0009324357085578949,0.0,Cluster 1
109,0.11698241693580644,0.027639029840631785,0.08508533966316266,0.0,Cluster 1
11002,0.1357507484365732,0.03037181301462312,0.06791440170646115,0.0,Cluster 1
11003,0.13513615647980892,0.01791990083968831,0.008053691275167786,0.0,Cluster 1
1100,0.08660138070314882,0.02358992816544443,0.014430847379358116,0.0,Cluster 1
11013,0.1991065653543212,0.014537958882662653,0.001851964296557168,0.0,Cluster 1
11035,0.09718241409849919,0.019855262637691582,0.11642986422834876,0.0,Cluster 1
1105,0.0916471412629478,0.02329784454072794,0.07294377831772543,0.0,Cluster 1
11063,0.09382116680319257,0.022061440941471135,0.07387090875845675,3.002140097012013e-05,Cluster 0
110,0.1313052214761965,0.02848383384269226,0.027409792543029606,0.0,Cluster 1
11112,0.08498095141930759,0.02614952614952615,0.14248735200788348,0.0,Cluster 1
11113,0.20498574473144035,0.02430048840927781,0.03953347309276266,0.0,Cluster 1
11124,0.11315483390405497,0.02666362698499485,0.044687856877812245,0.0,Cluster 1
11133,0.08190668407930667,0.017250385848272588,0.0,0.0,Cluster 1
11159,0.10152378452501097,0.030968985757796556,0.03539428520483217,0.0,Cluster 1
11175,0.12543226428822524,0.04536424653166668,0.2621390862282474,0.0,Cluster 1
11178,0.08266799316367254,0.02079192783977985,0.2660023737889536,0.0,Cluster 1
1117,0.11313991999932681,0.02562179708974163,0.03252409556851542,0.0,Cluster 1
11181,0.10685660018993352,0.024433048433048433,0.019480981158905085,0.0,Cluster 1
1118,0.12424634392869513,0.019098510711988523,0.0,0.0,Cluster 1
11225,0.10392258709913238,0.025554208909665713,0.004257682339874121,0.0,Cluster 1
11228,0.1771125040703354,0.024383344187561055,0.0,0.0,Cluster 1
1122,0.09427869905186416,0.028270313149246402,0.020562215526636323,0.0,Cluster 1
11232,0.08933371435715626,0.028612507702337045,0.001699405208177138,0.0,Cluster 1
11235,0.13639215194240994,0.021212026160191966,0.02455010636462945,0.0,Cluster 1
11236,0.09513114903203689,0.028095958641894035,0.07031631309045444,0.0,Cluster 1
11241,0.11998012776856436,0.02992905512232983,0.03150529488170679,0.0,Cluster 1
11242,0.23379178858721694,0.028501371287582965,0.03388426148009245,0.0,Cluster 1
11243,0.12178525671072779,0.031905252960844975,0.1237410994932324,0.0,Cluster 1
11252,0.310907632787232,0.032105119369706794,0.0328807505881686,0.0,Cluster 1
11259,0.12869435678303312,0.033486876923378484,0.002589253076641891,0.0,Cluster 1
1125,0.173614574609239,0.030508059886888685,0.013360795685519932,0.0,Cluster 1
11261,0.1255702457101623,0.032031603537052214,0.026200448037401382,0.0,Cluster 1
11295,0.11496703769635556,0.03519483949216534,0.006529692019737961,0.0,Cluster 1
11299,0.08988952175049716,0.04143889034130465,0.22179013757720337,0.0,Cluster 1
