CERT,anomaly_flag,anomaly_score
10628,1,0.09790844023706807
10634,1,0.11354070042697184
10635,1,0.07914189498150109
10639,1,0.11894928835622248
10641,1,0.11055137208707266
10643,1,0.11783776236550914
10647,1,0.09404936816586823
10663,1,0.11365341439658633
10667,1,0.10081588857654106
10672,1,0.12178584958629612
10674,1,0.008766419343883447
10677,1,0.12076801865150943
10685,1,0.03932109502035702
1068,1,0.061318830404332
10704,1,0.08111088094399171
10709,1,0.07979346595708736
10719,1,0.03610469702309976
1073,1,0.06622639316451889
10741,1,0.09254472534615621
10788,1,0.04008476468080019
10791,1,0.039514337526359467
10799,1,0.11385119271802713
107,1,0.12350205644294332
10803,1,0.08879250826740848
10804,1,0.12413940494173314
10809,1,0.10474622359934682
10820,1,0.08704332650563923
10821,1,0.045120709094481626
10829,1,0.1054085549019248
10831,1,0.08203691096996352
10840,1,0.0495322297206513
10843,1,0.08432402455431831
10844,1,0.12960222699295904
10845,1,0.12674479558798402
10849,1,0.1161479466142396
10853,1,0.03903708615383111
10855,1,0.1291003020594167
10858,1,0.06658181244383066
10860,-1,-0.012803787503327557
1086,1,0.10506159710308549
10871,1,0.037308661784991815
10878,1,0.08845193539092433
10883,1,0.062037195239110166
10886,1,0.04092391969863213
10903,1,0.033573321928358324
10906,1,0.12229164105677426
10907,1,0.12180368276752374
1090,1,0.11523678135565824
10918,1,0.014274163402482054
10919,1,0.06706474565454479
10920,1,0.024591301923702624
10928,1,0.13049957389875766
1092,1,0.09475513874133368
10956,1,0.09844616464992323
10958,1,0.12668519926101746
1095,1,0.09063437190928436
10960,1,0.11772364340539004
10962,-1,-0.0019953118636909517
10965,1,0.0946569048596192
10967,1,0.12493683637628528
10969,-1,-0.030187435198045676
10971,1,0.11156670831677895
10973,1,0.1262362380500484
10976,1,0.1271155331909667
10980,1,0.11616998453729377
10982,1,0.08606632401786624
10984,1,0.01880272346548373
10989,1,0.12350738658080213
1098,1,0.04249165785722886
10993,1,0.11773294602972972
10998,1,0.06732975258505308
109,1,0.10442496606570906
11002,1,0.09308087678860572
11003,1,0.07554621721494492
1100,1,0.11477741424398258
11013,-1,-0.03989130532893581
11035,1,0.051650795672949446
1105,1,0.09583735863868686
11063,-1,-0.15103547148733876
110,1,0.1148880318227069
11112,1,0.026255836134423116
11113,1,0.020268860377993025
11124,1,0.12884800116331663
11133,1,0.06158326127142705
11159,1,0.1041832256550041
11175,-1,-0.18330600601539127
11178,-1,-0.09038173138099714
1117,1,0.12901179141627828
11181,1,0.12997129800632573
1118,1,0.10071782201528662
11225,1,0.13093723507370825
11228,1,0.07133857782425984
1122,1,0.12110258322990453
11232,1,0.10591990707621723
11235,1,0.11245699960321898
11236,1,0.10664204950224421
11241,1,0.1133194169748753
11242,-1,-0.052480248537969176
11243,1,0.051856549456786416
11252,-1,-0.1623547331827191
11259,1,0.07616835554751672
1125,1,0.03907095749015338
11261,1,0.09216491311425734
11295,1,0.05529729114398085
11299,-1,-0.1388265842210784
11302,1,0.060920338026055454
11306,1,0.11089319314603924
11307,1,0.04703966751916583
11310,1,0.11263784244075753
11317,-1,-0.05071747426087425
11319,-1,-0.0661640542255455
11324,1,0.12466717972640284
11343,1,0.09267761800850144
11347,1,0.10304409432545919
11352,1,0.1149621794629353
11355,1,0.0832584500307132
11358,-1,-0.04413997167769401
11407,1,0.08997763750186194
11409,1,0.12069772571328058
11415,1,0.07119219190123016
11417,1,0.08218112981138204
1141,1,0.058572514611198945
11431,1,0.10807298287145539
11445,-1,-0.005939832192730865
11446,1,0.03732909120735567
11448,1,0.12319208268730586
11459,1,0.08518684912365632
11462,1,0.1089574921098655
11463,1,0.07107302573983854
11465,1,0.09154998065436432
11466,1,0.10478033442996965
11475,1,0.12114176177477781
11477,1,0.07066957331244106
1147,1,0.10827979553764583
11482,1,0.050904279483447334
11491,1,0.12436957458019221
11492,1,0.12484370332216066
11501,1,0.06652485094460364
11507,1,0.12555783263895992
11519,1,0.0334588945490249
11521,1,0.07941260463167904
11522,1,0.10548503648130281
11526,1,0.09329105242163299
11527,-1,-0.07074613772377569
11539,-1,-0.11532846818849674
11557,1,0.12078073337090273
11559,-1,-0.16396303456349748
11569,1,0.12382179952534245
11570,1,0.11266828450789196
11578,1,0.07992744815677566
11580,-1,-0.025487715411954937
11582,1,0.11321878790081336
11595,1,0.12668555695841377
11601,1,0.07561362165543495
11608,1,0.10514711105059604
11623,1,0.12385201055935169
1163,1,0.10755912226005115
1164,1,0.12281398444196279
1165,1,0.09276481165329492
11666,1,0.12457787606904974
11667,1,0.0704610768263671
11669,1,0.00551609200251757
11670,1,0.1333840839116991
11674,1,0.13429711430902558
